"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Boughside Wanderers","G","C","227410","6.99","25825","10.25","55744","34.3%","53.3%","9204","49.9%","13349","55.2%","22553","53.0%","32830","53.4%","-0.3pp"
"Cantankerous Keepers","G","R","22160","4.45","3381","6.03","8600","41.5%","51.9%","1407","51.7%","2108","52.9%","3515","52.5%","4940","51.1%","1.4pp"
"Dancing from Dark to Dawn","G","M","3785","1.67","2089","1.62","11508","86.6%","55.3%","1957","56.8%","2745","59.8%","4702","58.5%","6698","53.0%","5.5pp"
"Down in the Valley","G","R","15766","3.20","3619","3.78","16117","71.0%","53.9%","2842","57.2%","3956","54.9%","6798","55.9%","9181","52.4%","3.5pp"
"Galion, Elvenking's Butler","G","U","80980","5.37","10237","7.74","32534","51.0%","53.7%","5621","53.0%","7502","54.0%","13123","53.6%","19339","53.7%","-0.1pp"
"Gigantic Big Bear","G","R","14173","2.92","2983","3.37","13376","73.3%","51.6%","2265","48.4%","3146","52.8%","5411","51.0%","7869","51.8%","-0.8pp"
"Guardian of the Halls","G","C","221100","6.56","24675","9.70","67765","43.7%","52.8%","12155","51.8%","15579","52.8%","27734","52.3%","39760","53.1%","-0.8pp"
"Little Bear","G","C","228904","7.14","23371","10.67","33270","22.8%","51.5%","5779","49.4%","7291","51.2%","13070","50.4%","20134","52.2%","-1.8pp"
"Mirkwood Pathmaker","G","U","50508","3.22","13990","3.82","78957","87.3%","56.9%","13806","58.9%","18612","60.0%","32418","59.5%","46180","55.0%","4.5pp"
"Nasty Little Rabbit","G","U","56925","3.64","14001","4.39","73293","81.4%","56.8%","13514","62.1%","15777","56.0%","29291","58.8%","43881","55.5%","3.3pp"
"The Notary Hobbits","G","R","25905","4.97","3428","7.24","4491","20.8%","49.6%","748","49.9%","1094","53.8%","1842","52.2%","2606","47.8%","4.5pp"
"Old Fat Spider","G","U","74743","4.90","10597","6.84","40768","61.4%","53.2%","6845","50.6%","9504","54.5%","16349","52.9%","24263","53.4%","-0.6pp"
"Ordinary Bear","G","C","227912","6.97","27620","10.15","62767","36.0%","54.6%","10443","54.1%","13960","54.0%","24403","54.0%","38286","55.0%","-0.9pp"
"Part in Friendship","G","R","19124","3.80","3503","4.87","12694","58.8%","51.6%","2111","51.2%","2947","51.4%","5058","51.3%","7543","51.7%","-0.4pp"
"Quarrel","G","C","168278","4.47","29106","6.03","154260","83.4%","55.3%","25972","54.5%","35730","57.6%","61702","56.3%","92602","54.7%","1.6pp"
"Radagast of Rhosgobel","G","R","13037","2.68","2948","3.02","13707","74.4%","52.3%","2302","50.3%","3203","53.2%","5505","52.0%","8157","52.4%","-0.4pp"
"Through the Forest Gate","G","R","31291","5.95","3836","9.26","1341","5.6%","47.6%","219","","334","","553","48.8%","789","46.9%","1.9pp"
"Troll Negotiations","G","U","62478","3.95","11970","5.15","60977","80.7%","54.7%","9911","52.9%","14002","55.9%","23913","54.7%","37089","54.7%","-0.0pp"
"Warg Tactics","G","C","227009","6.86","24548","10.22","55661","35.8%","54.0%","9398","52.2%","12428","54.9%","21826","53.7%","33857","54.2%","-0.5pp"
"Wargling","G","C","219517","6.49","28331","9.36","92355","51.7%","54.9%","16474","54.4%","19541","53.7%","36015","54.0%","56199","55.5%","-1.5pp"
"Wilderland Scrounger","G","U","69292","4.62","9168","6.54","35684","62.8%","52.6%","5944","50.8%","8104","52.4%","14048","51.7%","21565","53.2%","-1.4pp"
"Wood Elves","G","C","203896","5.90","22901","8.64","74236","52.2%","52.5%","13223","53.2%","17257","53.5%","30480","53.4%","43463","51.8%","1.6pp"
"Woodland Weavemaster","G","U","79472","5.48","10439","7.70","31911","49.3%","52.3%","5724","55.7%","7458","52.8%","13182","54.1%","18617","50.9%","3.2pp"
"Bard, King of Dale","WU","M","6611","2.78","1969","3.04","7988","67.0%","50.5%","1275","47.3%","2658","53.0%","3933","51.1%","4084","49.9%","1.2pp"
"Bard the Bowman","WU","U","62679","4.21","16208","4.91","80548","79.0%","55.9%","13985","56.5%","27214","59.4%","41199","58.4%","39388","53.1%","5.3pp"
"Bard's Company","WU","R","12175","2.54","6073","2.54","34922","88.2%","58.1%","5937","62.8%","11571","64.2%","17508","63.7%","17502","52.6%","11.1pp"
"Bifur, Melodic Rider","WR","U","65890","4.28","11304","5.78","46690","65.5%","54.6%","7803","51.3%","11375","56.5%","19178","54.4%","27271","54.6%","-0.2pp"
"Bolg of the North","BR","U","61874","4.02","12173","5.20","55442","71.6%","55.1%","9135","52.6%","12673","55.6%","21808","54.4%","33706","55.6%","-1.2pp"
"Bolg's Company","BR","R","20550","3.93","3641","5.25","14467","63.4%","53.5%","2500","51.1%","3269","52.0%","5769","51.6%","8714","54.8%","-3.2pp"
"The Chief Warg","BG","U","58504","3.87","10968","4.98","51103","74.2%","54.4%","8703","51.3%","11115","53.3%","19818","52.4%","31158","55.6%","-3.1pp"
"Chief Warg's Company","BG","R","8722","1.87","4934","1.82","28992","90.2%","57.7%","5232","63.9%","6608","60.6%","11840","62.1%","17150","54.8%","7.2pp"
"Dáin's Company","WR","R","14293","2.94","4691","3.18","23173","77.1%","57.2%","3999","63.6%","5547","61.0%","9546","62.1%","13486","53.7%","8.4pp"
"Duskwatch Hunter","BG","C","196104","5.10","31549","7.32","143388","70.7%","56.3%","25278","55.4%","31255","55.4%","56533","55.4%","86772","56.8%","-1.4pp"
"Dwalin, Weaponmaster","WR","R","11821","2.39","5090","2.53","29076","88.4%","57.1%","5255","58.9%","7006","59.4%","12261","59.2%","16726","55.4%","3.7pp"
"Eagle's Rescue","WU","U","80657","5.30","13573","7.17","45672","53.5%","54.6%","7609","52.0%","14545","58.3%","22154","56.1%","23519","53.2%","2.9pp"
"Fearsome Goblin Pair","BR","U","58692","3.56","11066","4.75","54420","77.6%","54.0%","9534","53.2%","12533","53.4%","22067","53.3%","32364","54.5%","-1.2pp"
"Goblin Plate Mail","BR","C","148900","3.78","41666","4.85","247196","91.5%","56.9%","44652","56.8%","55818","56.3%","100470","56.6%","146337","57.1%","-0.6pp"
"The Great Goblin","BR","R","10008","2.15","4301","2.22","23783","86.5%","55.4%","4095","56.1%","5437","56.0%","9532","56.1%","14289","54.9%","1.1pp"
"Large Bear","BG","U","46250","2.93","12880","3.61","73914","89.6%","55.9%","12415","54.4%","16924","57.9%","29339","56.4%","44523","55.6%","0.9pp"
"Mirkwood Nurturer","UG","C","205866","5.70","34288","7.95","131354","61.0%","54.4%","22506","52.2%","34491","57.1%","56997","55.2%","74000","53.8%","1.4pp"
"Nori, Teller of Tales","WR","C","207723","5.67","30062","8.26","108101","56.9%","54.5%","19734","53.6%","26194","53.5%","45928","53.5%","61885","55.2%","-1.7pp"
"Patient Instructor","WU","C","198495","5.58","44757","7.07","222511","78.1%","56.2%","39340","56.3%","69488","59.5%","108828","58.3%","113726","54.2%","4.2pp"
"Silvan Reveler","UG","U","73050","4.96","11211","6.68","38713","56.4%","51.9%","6690","51.6%","10212","54.6%","16902","53.4%","21551","50.7%","2.7pp"
"Smaug, Wicked Worm","BR","R","10309","2.17","4008","2.24","21240","83.4%","54.9%","3560","52.5%","5006","56.4%","8566","54.8%","12732","54.9%","-0.2pp"
"Thorin Oakenshield","WR","U","66386","4.45","12588","5.68","58019","72.7%","56.0%","10164","57.3%","13895","55.1%","24059","56.0%","33561","55.9%","0.2pp"
