"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Quandrix Charm","UG","U","28815","4.90","5146","6.53","21740","68.5%","54.5%","3754","55.5%","6084","59.5%","9838","58.0%","11564","51.1%","6.9pp"
"Quandrix, the Proof","UG","M","1748","1.43","1232","1.41","6825","89.5%","56.3%","1230","61.2%","2022","62.4%","3252","61.9%","3385","50.1%","11.9pp"
"Rapturous Moment","UR","U","31000","5.52","5316","7.39","17411","54.8%","52.4%","2927","50.7%","5150","55.8%","8077","54.0%","8710","50.3%","3.6pp"
"Render Speechless","WB","C","86298","7.21","12534","9.70","32123","41.0%","57.6%","5359","57.2%","8239","58.6%","13598","58.1%","18271","57.1%","1.0pp"
"Resonating Lute","UR","R","7818","2.98","2753","3.16","12052","72.7%","53.8%","2091","53.9%","3642","57.3%","5733","56.1%","5928","51.2%","4.9pp"
"Root Manipulation","BG","U","32642","5.82","3945","8.43","10083","41.8%","52.5%","1689","50.6%","2414","53.9%","4103","52.5%","5953","52.0%","0.5pp"
"Sanar, Unfinished Genius","UR","U","22520","3.80","6108","4.57","31509","83.3%","55.7%","5470","59.5%","9268","58.6%","14738","58.9%","16033","52.6%","6.3pp"
"Scolding Administrator","WB","U","21593","3.76","5149","4.43","26276","80.4%","58.3%","4636","61.9%","6498","59.2%","11134","60.3%","15071","56.8%","3.6pp"
"Silverquill Charm","WB","U","24783","4.17","5186","5.09","25580","78.2%","58.1%","4345","58.6%","6549","61.1%","10894","60.1%","14481","56.4%","3.7pp"
"Silverquill, the Disputant","WB","M","2097","1.67","1155","1.65","5784","80.5%","55.1%","953","56.5%","1610","55.0%","2563","55.6%","3176","54.4%","1.2pp"
"Snooping Page","WB","U","23520","4.09","4829","5.01","23727","78.4%","56.5%","4278","57.8%","5786","55.9%","10064","56.7%","13591","56.2%","0.5pp"
