"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Exhibition Tidecaller","U","R","6143","2.84","2311","2.90","12281","84.1%","57.2%","2178","58.4%","3644","63.0%","5822","61.3%","6058","52.1%","9.1pp"
"Molten-Core Maestro","R","R","4126","1.95","2386","1.98","13797","92.9%","57.6%","2452","62.1%","3904","60.7%","6356","61.2%","7223","54.5%","6.8pp"
"Library of Alexandria","","M","548","2.58","221","","1207","85.6%","57.7%","237","","330","","567","61.2%","618","54.2%","7.0pp"
"Postmortem Professor","B","R","5062","2.31","1931","2.43","10095","84.4%","57.1%","1843","65.4%","2344","57.6%","4187","61.0%","5852","54.3%","6.8pp"
"Pursue the Past","WR","C","69612","6.91","12205","8.87","44268","57.9%","59.0%","7679","60.2%","11616","61.6%","19295","61.0%","24886","57.5%","3.5pp"
"Mathemagics","U","M","3171","2.88","1121","3.07","5336","78.5%","56.9%","926","55.1%","1642","64.3%","2568","61.0%","2524","51.7%","9.3pp"
"Practiced Scrollsmith","WR","U","20310","4.17","5647","4.86","29595","83.0%","59.0%","4934","58.2%","8088","62.3%","13022","60.7%","16491","57.6%","3.1pp"
"Molten Note","WR","U","22798","4.57","5769","5.47","28398","78.3%","58.5%","4770","58.4%","7707","62.2%","12477","60.7%","15748","56.7%","4.0pp"
"Splatter Technique","UR","R","5352","2.56","2395","2.57","12403","83.6%","56.4%","2159","56.9%","3752","62.9%","5911","60.7%","5829","50.9%","9.8pp"
"Emeritus of Truce","W","M","1788","1.78","1000","1.80","5602","87.9%","58.0%","995","58.9%","1439","61.9%","2434","60.7%","3144","56.0%","4.7pp"
"Slumbering Trudge","G","R","4591","2.17","2127","2.14","11623","87.4%","56.7%","2057","63.1%","3180","59.0%","5237","60.6%","6114","53.4%","7.2pp"
"Elite Interceptor","W","C","55410","4.80","13250","5.77","72744","86.0%","59.3%","13293","61.5%","18544","59.9%","31837","60.6%","40661","58.3%","2.3pp"
"Strixhaven Skycoach","","U","24525","4.69","6422","5.75","30218","75.7%","57.7%","5601","59.3%","7989","61.5%","13590","60.6%","16452","55.3%","5.3pp"
"Scolding Administrator","WB","U","17928","3.75","4270","4.42","21664","80.6%","58.2%","3834","62.4%","5375","59.2%","9209","60.5%","12395","56.5%","4.0pp"
"Dismember","B","R","891","1.77","547","1.88","3321","96.4%","56.7%","581","60.2%","867","60.7%","1448","60.5%","1826","53.2%","7.3pp"
"Germination Practicum","G","M","1666","1.54","1086","1.55","5942","88.2%","56.2%","1027","58.3%","1590","61.8%","2617","60.5%","3205","52.4%","8.0pp"
"Silverquill Charm","WB","U","20581","4.15","4247","5.09","20757","78.6%","58.3%","3539","58.7%","5297","61.4%","8836","60.3%","11751","56.6%","3.8pp"
