"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Petrified Hamlet","","R","73878","6.58","8830","10.00","739","1.3%","43.7%","107","","219","","326","","410","",""
"Shattered Sanctum","","R","46781","3.80","9449","5.16","46136","76.5%","55.5%","8414","57.5%","11724","57.1%","20138","57.3%","25585","54.1%","3.2pp"
"Skycoach Waypoint","","U","152917","7.46","15972","11.17","13934","13.9%","51.0%","2219","49.4%","3612","49.9%","5831","49.7%","7988","51.8%","-2.1pp"
"Spectacle Summit","","C","341888","5.15","69851","7.11","373009","84.3%","54.5%","69576","55.7%","106454","56.8%","176030","56.4%","191137","52.7%","3.7pp"
"Stormcarved Coast","","R","44596","3.60","10964","4.74","58548","84.3%","54.2%","10979","55.3%","16651","58.0%","27630","56.9%","29475","51.5%","5.4pp"
"Sundown Pass","","R","46906","3.76","11009","4.99","56611","81.0%","55.4%","10502","56.6%","15413","57.5%","25915","57.1%","30068","53.8%","3.3pp"
"Terramorphic Expanse","","C","264565","4.36","61151","5.96","369160","95.1%","54.9%","70064","56.7%","98238","56.0%","168302","56.3%","197427","53.7%","2.6pp"
"Titan's Grave","","C","350235","5.33","56879","7.60","282493","78.7%","54.2%","52944","55.6%","72720","55.1%","125664","55.3%","153121","53.1%","2.2pp"
"Akroma's Will","W","M","2328","2.06","1341","2.05","7925","89.7%","57.6%","1271","56.1%","2123","62.5%","3394","60.1%","4440","55.4%","4.7pp"
"Angel's Grace","W","R","14475","5.91","1574","9.40","490","4.8%","","75","","127","","202","","285","",""
"Armageddon","W","M","4516","3.81","935","4.73","3020","51.6%","53.1%","486","","750","52.8%","1236","51.3%","1768","54.4%","-3.1pp"
"Duty Beyond Death","W","U","136442","6.75","15137","10.20","15488","16.1%","52.0%","2534","48.8%","3839","52.0%","6373","50.7%","9068","52.9%","-2.1pp"
"Helping Hand","W","U","123182","5.66","16177","8.25","46996","45.9%","54.2%","7874","51.2%","12110","54.3%","19984","53.1%","26892","54.9%","-1.8pp"
"Hop to It","W","U","118158","5.31","20181","7.12","80419","62.1%","55.6%","14273","55.4%","20737","55.5%","35010","55.4%","45158","55.8%","-0.4pp"
"Prismatic Ending","W","R","10860","4.26","2455","5.44","9410","61.0%","54.1%","1640","55.0%","2770","57.8%","4410","56.8%","4831","51.4%","5.3pp"
"Repel Calamity","W","U","78336","3.41","24661","3.98","145563","90.7%","57.2%","24852","57.0%","39269","60.2%","64121","58.9%","80174","55.7%","3.2pp"
"Reprieve","W","R","9103","3.52","2790","4.01","14707","81.2%","57.1%","2611","57.9%","3931","59.4%","6542","58.8%","8040","55.5%","3.3pp"
"Requisition Raid","W","U","131412","6.33","14255","9.64","20484","22.7%","51.8%","3404","49.7%","5093","51.2%","8497","50.6%","11925","52.6%","-2.1pp"
"Return to the Ranks","W","R","12855","5.24","1582","7.77","2275","22.5%","51.3%","398","","588","53.6%","986","49.5%","1283","52.8%","-3.3pp"
"Winds of Abandon","W","M","2414","2.14","1391","2.16","8291","92.5%","57.7%","1379","56.1%","2350","64.8%","3729","61.6%","4456","54.1%","7.5pp"
"Brain Freeze","U","R","10809","4.41","2441","5.34","9294","61.0%","53.5%","1574","48.9%","3110","58.7%","4684","55.4%","4200","49.8%","5.5pp"
"Cyclonic Rift","U","M","2196","1.94","1130","2.02","6385","89.6%","54.7%","1051","53.7%","1909","61.3%","2960","58.6%","3222","50.3%","8.3pp"
"Daze","U","R","10979","4.28","2444","5.26","10892","70.2%","55.3%","1847","56.3%","3213","59.8%","5060","58.5%","5573","52.2%","6.2pp"
"Deduce","U","U","117232","5.07","22078","6.84","104250","74.7%","54.5%","18600","55.2%","31052","58.5%","49652","57.2%","52488","51.7%","5.5pp"
"Disdainful Stroke","U","U","110640","4.82","22320","6.30","110341","78.6%","54.1%","19066","53.3%","32954","59.0%","52020","56.9%","55454","51.0%","6.0pp"
"Flusterstorm","U","M","6172","4.93","816","7.18","1288","25.8%","48.6%","234","","385","","619","48.5%","654","48.3%","0.1pp"
"Force of Will","U","M","3297","2.75","950","3.20","4110","70.5%","53.6%","692","53.0%","1224","59.2%","1916","56.9%","2042","49.6%","7.4pp"
"Pongify","U","R","13552","5.50","1368","8.79","1475","17.5%","46.9%","269","","415","","684","47.5%","751","46.5%","1.0pp"
"Preordain","U","R","9866","3.86","2028","5.06","10020","78.6%","54.1%","1810","53.6%","2962","57.9%","4772","56.3%","5037","51.7%","4.6pp"
"Sleight of Hand","U","U","121708","5.37","19396","7.54","78064","64.4%","53.4%","13862","53.6%","23575","57.1%","37437","55.8%","39290","51.0%","4.9pp"
"Spell Pierce","U","U","133743","6.27","17957","9.02","48141","42.9%","52.7%","8363","52.6%","13929","56.9%","22292","55.3%","24905","50.0%","5.2pp"
"Stock Up","U","U","62143","2.79","24900","3.13","145083","91.0%","55.6%","25539","57.1%","43332","61.6%","68871","59.9%","72903","51.1%","8.8pp"
"Ad Nauseam","B","M","6433","5.22","736","8.06","311","6.7%","","48","","73","","121","","187","",""
"Bitter Triumph","B","U","63905","2.83","19552","3.35","113710","90.8%","55.7%","19681","55.6%","29941","58.7%","49622","57.5%","62856","54.2%","3.3pp"
"Culling the Weak","B","R","14098","5.93","1489","9.37","384","4.2%","","66","","98","","164","","217","",""
"Dismember","B","R","4194","1.79","2470","1.90","15329","96.8%","56.2%","2727","57.8%","4139","59.8%","6866","59.0%","8220","53.7%","5.3pp"
"Feed the Swarm","B","U","80824","3.52","16666","4.53","90519","85.8%","54.6%","16044","53.4%","23251","56.9%","39295","55.5%","50435","53.8%","1.6pp"
"Living End","B","M","6532","5.22","724","7.94","138","3.0%","","19","","44","","63","","75","",""
"Locust Spray","B","U","139751","6.59","15712","9.78","26540","26.9%","53.1%","4562","51.4%","6380","52.6%","10942","52.1%","15503","53.8%","-1.7pp"
"Sheoldred's Edict","B","R","8385","3.32","1444","4.40","6525","72.8%","53.5%","1168","53.8%","1656","52.7%","2824","53.1%","3642","53.3%","-0.2pp"
"Smallpox","B","R","14703","6.01","1532","9.50","506","5.2%","46.8%","79","","122","","201","","306","",""
"Stargaze","B","U","141055","6.81","18566","9.83","35065","29.6%","55.4%","5784","53.0%","8845","56.4%","14629","55.1%","20281","55.5%","-0.5pp"
"Vampiric Tutor","B","M","3953","3.35","641","4.39","1925","50.2%","48.1%","364","","501","48.3%","865","46.5%","1042","49.6%","-3.1pp"
"Zombify","B","U","135672","6.53","13106","10.18","10695","13.1%","47.9%","1746","43.5%","2860","48.7%","4606","46.7%","6032","48.7%","-1.9pp"
"Abrade","R","U","65788","2.86","24522","3.33","146527","93.3%","55.7%","25643","56.8%","42464","59.0%","68107","58.1%","75669","53.4%","4.8pp"
"Big Score","R","R","10075","3.90","2119","4.92","10274","76.9%","53.7%","1753","52.0%","3110","56.7%","4863","55.0%","5203","52.3%","2.7pp"
"Brotherhood's End","R","R","7914","3.19","2455","3.60","12189","78.0%","55.8%","2100","57.1%","3611","61.0%","5711","59.6%","6185","52.0%","7.6pp"
"Bulk Up","R","U","139221","6.84","15735","10.27","19061","19.4%","50.7%","3082","48.3%","5008","52.4%","8090","50.8%","10832","50.4%","0.4pp"
"Burst Lightning","R","U","63908","2.82","25758","3.21","154891","93.4%","56.1%","26971","56.6%","44868","59.9%","71839","58.7%","80012","53.4%","5.3pp"
"Crackle with Power","R","M","2447","2.22","1426","2.22","8679","92.1%","57.6%","1454","55.3%","2704","64.8%","4158","61.4%","4144","52.0%","9.5pp"
"Empty the Warrens","R","R","12013","4.94","1805","6.83","4673","40.6%","51.9%","829","50.5%","1396","58.0%","2225","55.2%","2311","48.3%","6.9pp"
"Jeska's Will","R","M","6330","5.16","834","7.70","634","12.1%","50.5%","114","","167","","281","","345","",""
"Monstrous Rage","R","U","121089","5.48","19545","7.47","69997","56.3%","55.4%","11797","55.3%","18412","57.0%","30209","56.3%","39430","54.6%","1.7pp"
"Pyretic Ritual","R","R","14594","6.06","1580","9.45","605","6.1%","47.3%","109","","140","","249","","341","",""
"Return the Favor","R","U","137329","6.60","17215","9.78","27571","25.5%","51.4%","4635","48.5%","8112","55.0%","12747","52.6%","14358","50.0%","2.7pp"
"Subterranean Tremors","R","M","2379","2.06","1348","2.12","7814","89.8%","56.0%","1362","56.1%","2290","62.4%","3652","60.0%","3882","51.7%","8.3pp"
"Awaken the Woods","G","M","3611","2.95","750","3.46","3269","71.0%","51.5%","542","51.1%","959","55.4%","1501","53.8%","1675","48.0%","5.8pp"
"Berserk","G","M","5723","4.82","726","7.01","1113","24.7%","49.0%","174","","288","","462","","641","49.8%",""
"Crop Rotation","G","R","15618","6.24","1673","9.70","607","5.7%","42.3%","109","","155","","264","","342","",""
"Giant Growth","G","U","142817","6.92","14558","10.48","18569","20.4%","51.3%","3075","49.6%","4521","53.0%","7596","51.7%","10893","50.9%","0.8pp"
"Glimpse of Nature","G","R","14836","6.10","1635","9.45","392","3.8%","","65","","90","","155","","230","",""
"Knockout Maneuver","G","U","96695","4.16","17382","5.48","86174","78.7%","54.1%","14562","54.2%","22888","58.2%","37450","56.6%","47691","51.9%","4.7pp"
"Pick Your Poison","G","U","144899","7.36","14132","11.30","4865","5.5%","48.5%","826","46.7%","1255","48.1%","2081","47.6%","2745","49.3%","-1.7pp"
"Royal Treatment","G","U","121499","5.30","17749","7.45","70430","63.5%","53.9%","11874","54.9%","18039","57.1%","29913","56.2%","39955","52.0%","4.2pp"
"Shamanic Revelation","G","R","11689","4.66","1404","6.84","3044","34.5%","51.1%","524","46.6%","713","53.0%","1237","50.3%","1796","51.7%","-1.4pp"
"Shared Roots","G","U","95581","4.20","18373","5.43","85420","74.8%","52.9%","15533","55.9%","23230","54.7%","38763","55.2%","46054","51.0%","4.2pp"
"Triumph of the Hordes","G","M","4935","4.17","636","5.75","1236","31.7%","49.4%","219","","320","","539","48.6%","691","49.8%","-1.2pp"
"Veil of Summer","G","R","15187","6.06","1738","9.36","892","8.2%","50.7%","138","","212","","350","","538","50.0%",""
"Bring to Light","UG","R","13117","5.07","1877","7.26","3079","26.0%","51.8%","515","50.3%","938","54.9%","1453","53.3%","1574","50.3%","3.0pp"
"Culling Ritual","BG","R","12199","4.96","1433","7.57","1824","20.4%","49.7%","308","","487","","795","52.8%","1017","47.3%","5.5pp"
"Deflecting Palm","WR","R","13057","5.36","1540","8.20","1689","17.4%","47.1%","278","","432","","710","47.3%","978","47.0%","0.3pp"
"Expressive Iteration","UR","R","8102","3.25","2543","3.81","13424","83.7%","54.4%","2345","54.5%","4063","59.4%","6408","57.6%","6624","50.7%","6.9pp"
"Fracture","WB","R","13831","5.95","1518","9.19","929","9.6%","46.1%","185","","225","","410","","518","52.7%",""
"Archaeomancer","U","C","5772","5.06","1087","6.77","4330","64.1%","52.6%","676","48.2%","1384","57.7%","2060","54.6%","2159","50.2%","4.4pp"
"Archmage Emeritus","U","R","2912","2.83","817","3.21","3916","77.9%","50.7%","679","47.9%","1144","51.1%","1823","49.9%","2002","51.4%","-1.5pp"
"Murmuring Mystic","U","U","3171","2.74","1184","3.03","6776","90.5%","54.0%","1161","54.2%","2147","57.8%","3308","56.6%","3284","51.4%","5.2pp"
"Grim Haruspex","B","R","2877","2.67","777","3.06","4026","81.2%","54.7%","699","52.4%","974","55.4%","1673","54.2%","2319","54.8%","-0.6pp"
"Dualcaster Mage","R","R","3366","3.20","793","3.89","3618","75.0%","51.7%","599","45.4%","1020","53.5%","1619","50.5%","1945","52.5%","-2.0pp"
"Magus of the Library","G","R","5305","4.68","718","6.82","1561","34.5%","49.5%","253","","382","","635","45.2%","909","52.0%","-6.8pp"
"Sylvan Library","G","M","3246","3.22","630","3.73","2340","60.8%","52.1%","430","","592","51.4%","1022","51.8%","1292","52.4%","-0.6pp"
"Adrix and Nev, Twincasters","UG","M","3842","3.71","650","4.76","1497","38.7%","47.4%","219","","434","","653","48.7%","827","46.1%","2.6pp"
"Codie, Vociferous Codex","","R","5717","5.06","976","6.63","2115","34.6%","52.9%","374","","698","56.0%","1072","54.3%","995","51.6%","2.7pp"
"Library of Alexandria","","M","2649","2.59","1191","2.70","6854","89.2%","56.0%","1274","67.4%","1868","54.9%","3142","60.0%","3594","52.1%","7.9pp"
