"card_name","colors","rarity","cgb_raw","cgb_zscore","ds_raw","ds_zscore","llu_a_raw","llu_a_zscore","llu_m_raw","llu_m_zscore","cfb_raw","cfb_zscore","average_zscore","expert_count"
"Landscape Painter // Vibrant Idea","U","common","4","-0.21","3","-0.68","3","-0.76","4","-0.035","3","0.0595","-0.325","5"
"Melancholic Poet","B","common","3","-0.611","3","-0.68","4.5","0.096","4","-0.035","2.5","-0.395","-0.325","5"
"Mindful Biomancer","G","common","3","-0.611","3","-0.68","4.5","0.096","4","-0.035","2.75","-0.1678","-0.28","5"
"Quick Study","U","common","4","-0.21","3","-0.68","4","-0.189","4","-0.035","3","0.0595","-0.211","5"
"Rehearsed Debater","W","common","4","-0.21","3","-0.68","4","-0.189","4.5","0.233","2.75","-0.1678","-0.203","5"
"Shattered Acolyte","W","common","5","0.192","3","-0.68","4.5","0.096","4.5","0.233","2.25","-0.6222","-0.156","5"
"Stone Docent","W","common","4","-0.21","3","-0.68","4.5","0.096","4.5","0.233","2.75","-0.1678","-0.146","5"
"Tackle Artist","R","common","2","-1.013","3","-0.68","3","-0.76","3","-0.572","1.75","-1.0767","-0.82","5"
"Snarl Song","G","uncommon","6","0.593","7","0.903","6","0.952","5.5","0.77","1.5","-1.304","0.383","5"
"Lumaret's Favor","G","uncommon","4","-0.21","3","-0.68","4","-0.189","3","-0.572","2.5","-0.395","-0.409","5"
"Shopkeeper's Bane","G","common","3","-0.611","2","-1.076","4","-0.189","4","-0.035","2.5","-0.395","-0.461","5"
"Spellbook Seeker // Careful Study","U","common","4","-0.21","2","-1.076","4","-0.189","2","-1.108","3","0.0595","-0.505","5"
"Cheerful Osteomancer // Raise Dead","B","common","5","0.192","5","0.111","3","-0.76","3","-0.572","3","0.0595","-0.194","5"
"Daydream","W","uncommon","1","-1.414","5","0.111","3","-0.76","2","-1.108","1","-1.7585","-0.986","5"
"Essence Scatter","U","common","5","0.192","5","0.111","5.5","0.667","5","0.502","3","0.0595","0.306","5"
"Primary Research","W","uncommon","3","-0.611","5","0.111","5.5","0.667","6","1.038","1","-1.7585","-0.111","5"
"Sundering Archaic","","uncommon","4","-0.21","5","0.111","4.5","0.096","5","0.502","4","0.9685","0.293","5"
"Brush Off","U","uncommon","2","-1.013","3","-0.68","5","0.382","5","0.502","1.5","-1.304","-0.423","5"
"Growth Curve","G|U","uncommon","2","-1.013","3","-0.68","2","-1.331","1","-1.645","1","-1.7585","-1.286","5"
"Heated Argument","R","common","4","-0.21","3","-0.68","3","-0.76","3","-0.572","2","-0.8495","-0.614","5"
"Interjection","W","common","3","-0.611","3","-0.68","4","-0.189","3","-0.572","2","-0.8495","-0.58","5"
"Living History","R","uncommon","4","-0.21","3","-0.68","4.5","0.096","3","-0.572","1.5","-1.304","-0.534","5"
