"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Mudbutton Cursetosser","B","U","67127","4.92","11725","6.28","49011","66.1%","54.8%","8806","60.7%","11449","54.9%","20255","57.5%","27740","52.4%","5.1pp"
"Nameless Inversion","B","U","39515","3.06","13464","3.54","78127","88.2%","54.6%","13783","55.1%","18993","56.5%","32776","55.9%","43640","53.2%","2.7pp"
"Nightmare Sower","B","U","68097","5.07","9623","6.92","25476","43.2%","49.6%","4340","48.3%","6725","52.8%","11065","51.1%","14525","48.5%","2.6pp"
"Perfect Intimidation","B","U","90294","6.63","9698","10.10","6945","11.5%","48.0%","1156","45.4%","1647","49.1%","2803","47.6%","4151","48.4%","-0.8pp"
"Requiting Hex","B","U","64493","4.61","10606","6.15","42941","64.9%","52.2%","7454","52.4%","10370","52.9%","17824","52.7%","25134","51.8%","0.9pp"
"Retched Wretch","B","U","74311","5.42","10714","7.44","37936","56.9%","52.7%","6704","52.2%","9137","53.6%","15841","53.0%","21546","52.0%","1.0pp"
"Scarblade Scout","B","C","186490","5.22","37046","6.70","186530","78.1%","56.6%","33653","58.5%","41722","57.0%","75375","57.7%","108696","55.7%","2.0pp"
"Scarblade's Malice","B","C","226167","6.48","27965","9.47","71133","40.5%","53.2%","11906","52.1%","16956","55.3%","28862","54.0%","42305","52.7%","1.3pp"
"Shimmercreep","B","U","72875","5.08","13466","6.81","46908","56.2%","51.7%","7740","49.9%","12474","57.0%","20214","54.3%","26299","49.4%","4.9pp"
"Taster of Wares","B","R","13013","2.75","4854","3.00","32370","81.8%","55.7%","5594","60.6%","8000","60.6%","13594","60.6%","18143","51.6%","9.0pp"
"Twilight Diviner","B","R","15344","3.04","4390","3.57","23704","75.4%","54.3%","4217","56.2%","5677","55.8%","9894","56.0%","13499","52.8%","3.2pp"
"Unbury","B","U","56380","4.03","13124","5.06","67268","80.9%","54.3%","11202","52.0%","16758","57.5%","27960","55.3%","39365","53.6%","1.7pp"
"Ashling, Rekindled","R","R","13035","2.81","4837","3.08","31456","80.4%","55.3%","5763","62.7%","8444","58.6%","14207","60.2%","16643","50.8%","9.5pp"
"Boldwyr Aggressor","R","U","84895","6.28","10863","9.10","17942","26.9%","49.7%","2982","48.9%","4604","52.5%","7586","51.1%","10417","48.8%","2.3pp"
"Boneclub Berserker","R","C","234217","7.37","26888","10.69","47616","28.3%","50.9%","7903","48.9%","11686","51.4%","19589","50.4%","27184","50.8%","-0.4pp"
"Boulder Dash","R","U","54363","4.00","13539","4.86","70432","82.1%","53.7%","12412","53.4%","18578","57.2%","30990","55.6%","39459","52.2%","3.4pp"
"Brambleback Brute","R","C","232296","6.97","29111","10.02","56964","31.4%","51.4%","9907","49.2%","14247","54.0%","24154","52.1%","32923","50.9%","1.2pp"
"Burning Curiosity","R","C","241152","7.30","33461","10.24","63773","30.5%","51.5%","10880","48.3%","16481","53.4%","27361","51.4%","36429","51.6%","-0.3pp"
"Champion of the Path","R","R","15005","3.15","4455","3.61","25275","77.5%","52.7%","4281","51.9%","7063","55.8%","11344","54.3%","13370","50.7%","3.7pp"
"Cinder Strike","R","C","143956","4.11","38627","4.98","214415","87.1%","53.9%","37525","54.0%","56786","56.4%","94311","55.4%","120164","52.8%","2.7pp"
"Collective Inferno","R","R","24545","4.44","3716","6.12","10155","43.0%","49.8%","1649","47.3%","2689","49.2%","4338","48.5%","5848","50.7%","-2.2pp"
"Elder Auntie","R","C","221995","6.60","29810","9.28","86184","46.7%","52.1%","15141","51.4%","20776","52.3%","35917","51.9%","48954","52.0%","-0.1pp"
"End-Blaze Epiphany","R","R","12623","2.59","5735","2.77","38839","86.0%","55.7%","6668","58.3%","10244","61.7%","16912","60.3%","21944","52.1%","8.3pp"
"Enraged Flamecaster","R","C","225206","6.68","28551","9.63","73103","41.2%","52.2%","12915","51.9%","19317","53.3%","32232","52.7%","39767","51.4%","1.3pp"
"Explosive Prodigy","R","U","48362","3.64","15967","4.17","90048","85.2%","55.1%","15994","56.2%","24284","59.2%","40278","58.0%","48142","52.4%","5.7pp"
"Feed the Flames","R","C","177378","4.88","33709","6.42","166638","79.5%","53.0%","27761","51.2%","45076","56.4%","72837","54.4%","93866","51.9%","2.5pp"
"Flame-Chain Mauler","R","C","227326","6.64","33437","9.26","107043","51.4%","53.1%","19314","52.6%","28044","53.5%","47358","53.2%","58355","52.8%","0.4pp"
"Flamebraider","R","U","53044","4.08","15717","4.69","85430","81.3%","55.7%","15610","62.9%","22848","55.9%","38458","58.7%","45583","53.0%","5.8pp"
"Flamekin Gildweaver","R","C","214092","6.10","37698","8.05","153571","64.7%","54.6%","26523","55.2%","42118","57.1%","68641","56.4%","82413","52.9%","3.5pp"
"Giantfall","R","U","66712","4.77","11866","6.25","47252","64.5%","52.1%","7949","50.0%","12455","55.0%","20404","53.1%","26889","51.3%","1.8pp"
"Goatnap","R","U","95790","7.41","10637","11.03","3896","5.9%","48.2%","606","42.6%","927","52.0%","1533","48.3%","2366","48.2%","0.1pp"
"Goliath Daydreamer","R","R","12264","2.65","4767","2.87","29692","81.7%","53.0%","5045","54.1%","8129","55.4%","13174","54.9%","16740","51.5%","3.4pp"
"Gristle Glutton","R","C","223652","6.52","35841","8.80","129936","58.1%","53.2%","23411","53.8%","31462","53.1%","54873","53.4%","73477","52.8%","0.6pp"
"Hexing Squelcher","R","R","15744","3.14","3404","3.89","17054","73.2%","51.4%","3078","50.6%","4185","51.5%","7263","51.1%","9609","51.4%","-0.3pp"
"Impolite Entrance","R","U","94268","7.16","10629","10.55","7054","10.8%","46.7%","1152","43.4%","1742","44.7%","2894","44.2%","4165","48.3%","-4.1pp"
"Kindle the Inner Flame","R","U","86234","6.47","12627","8.89","27869","35.3%","53.5%","4506","50.8%","7570","56.7%","12076","54.5%","15225","51.9%","2.6pp"
"Kulrath Zealot","R","C","198633","5.53","38864","7.19","179628","72.9%","54.8%","31397","54.1%","49132","58.7%","80529","56.9%","96200","52.6%","4.3pp"
"Lasting Tarfire","R","U","85559","6.57","11159","9.25","22704","33.0%","48.8%","3910","44.3%","5680","47.9%","9590","46.5%","13126","50.4%","-4.0pp"
"Lavaleaper","R","R","31286","5.30","3855","8.18","3045","12.4%","47.8%","472","","815","49.4%","1287","47.8%","1722","47.5%","0.3pp"
"Meek Attack","R","M","19061","5.42","2351","8.33","142","1.0%","","28","","33","","61","","81","",""
"Reckless Ransacking","R","C","246025","7.80","27673","11.42","19198","11.1%","50.1%","3161","49.3%","4737","51.5%","7898","50.6%","11308","49.7%","0.9pp"
"Scuzzback Scrounger","R","R","15384","3.04","4622","3.48","27796","84.7%","53.6%","5057","57.7%","7051","52.8%","12108","54.9%","15472","52.5%","2.4pp"
"Sear","R","U","37972","2.95","13685","3.37","81412","90.3%","54.2%","14225","55.0%","21778","57.8%","36003","56.7%","45427","52.3%","4.4pp"
"Sizzling Changeling","R","U","59649","4.24","14046","5.24","73530","82.7%","53.6%","12813","53.0%","19307","54.5%","32120","53.9%","40195","53.0%","1.0pp"
"Soul Immolation","R","M","5555","2.26","2880","2.35","21232","86.5%","56.4%","3630","58.0%","5726","65.8%","9356","62.8%","11891","51.3%","11.5pp"
"Soulbright Seeker","R","U","74399","5.39","13655","7.01","53196","62.1%","54.2%","9307","56.2%","14230","53.9%","23537","54.8%","28853","53.4%","1.5pp"
"Sourbread Auntie","R","U","65459","4.89","12798","6.15","55152","68.4%","54.1%","9396","53.4%","13760","56.5%","23156","55.2%","30867","52.8%","2.5pp"
"Spinerock Tyrant","R","M","4127","1.74","2285","1.81","18722","87.9%","55.8%","3136","60.6%","5273","62.8%","8409","62.0%","10449","50.8%","11.2pp"
"Squawkroaster","R","U","75797","5.44","11451","7.51","35748","50.3%","51.1%","6003","50.2%","9750","52.9%","15753","51.9%","19666","50.2%","1.7pp"
"Sting-Slinger","R","U","76186","5.58","11767","7.56","41727","57.2%","52.3%","7141","50.0%","10102","53.3%","17243","51.9%","23862","52.2%","-0.3pp"
"Tweeze","R","C","164080","4.53","33648","5.87","173194","82.3%","53.5%","29933","52.2%","45631","56.1%","75564","54.6%","97670","52.6%","2.0pp"
"Warren Torchmaster","R","U","80356","5.85","11582","8.04","37542","52.3%","52.0%","6702","50.4%","8775","51.7%","15477","51.1%","21621","52.4%","-1.2pp"
"Assert Perfection","G","C","144927","3.96","39815","4.86","230067","89.0%","56.2%","38554","56.3%","56604","59.2%","95158","58.0%","134963","54.9%","3.1pp"
"Aurora Awakener","G","M","4024","1.71","2626","1.73","20294","90.3%","54.8%","3522","56.3%","5407","63.8%","8929","60.8%","11247","50.1%","10.7pp"
"Bloom Tender","G","M","5689","2.13","2217","2.30","13800","81.7%","52.4%","2509","57.5%","3250","52.5%","5759","54.7%","7941","50.7%","4.0pp"
"Blossoming Defense","G","U","67131","4.61","13471","6.01","67981","79.3%","55.1%","11379","53.7%","15952","56.9%","27331","55.6%","40678","54.9%","0.7pp"
"Bristlebane Battler","G","R","8259","1.96","4162","2.08","32891","88.3%","56.6%","5957","64.1%","7903","57.1%","13860","60.1%","18678","53.9%","6.2pp"
"Bristlebane Outrider","G","U","61053","4.40","12826","5.53","59975","72.5%","55.4%","10153","55.3%","14618","56.9%","24771","56.3%","34632","54.5%","1.7pp"
