card,rarity,colors,expert_pct,actual_pct,discrepancy,gih_wr,gih_count
Murmuring Mystic,common,U,0.8569,0.6731,+0.1837,57.50,1923
Titan's Grave,common,,0.6184,0.4346,+0.1837,55.60,73284
Send in the Pest,common,B,0.6060,0.4099,+0.1961,55.40,42313
Mind into Matter,rare,GU,0.9276,0.7297,+0.1979,57.90,14568
Pterafractyl,common,GU,0.4823,0.2774,+0.2049,53.90,41706
Germination Practicum,mythic,G,0.9982,0.7898,+0.2085,58.60,6801
"Nita, Forum Conciliator",rare,BW,0.3481,0.1360,+0.2120,51.70,5831
"Prismari, the Inspiration",mythic,RU,0.5954,0.3816,+0.2138,55.00,5936
Burrog Banemaker,common,B,0.5495,0.3322,+0.2173,54.50,34681
"Lorehold, the Historian",mythic,RW,0.9841,0.7580,+0.2261,58.10,7850
Stadium Tidalmage,common,RU,0.5318,0.2968,+0.2350,54.20,34054
Preordain,common,U,0.6802,0.4435,+0.2367,55.70,2611
Archaeomancer,common,U,0.4293,0.1926,+0.2367,52.90,1079
Mind Roots,uncommon,BG,0.5035,0.2597,+0.2438,53.70,15183
Hop to It,uncommon,W,0.7332,0.4876,+0.2456,56.00,21187
Thornfist Striker,uncommon,G,0.7650,0.5106,+0.2544,56.10,18281
Magmablood Archaic,rare,R,0.8852,0.6113,+0.2739,57.00,16345
Tragedy Feaster,rare,B,0.6837,0.4099,+0.2739,55.40,9417
Wildgrowth Archaic,rare,G,0.8604,0.5866,+0.2739,56.80,13828
Chelonian Tackle,uncommon,G,0.3693,0.0760,+0.2933,50.70,9366
Eternal Student,uncommon,B,0.6413,0.3463,+0.2951,54.60,20881
Spectacular Skywhale,uncommon,RU,0.4859,0.1784,+0.3074,52.40,21645
Aberrant Manawurm,uncommon,G,0.4223,0.1113,+0.3110,51.40,9825
Abstract Paintmage,uncommon,RU,0.4046,0.0901,+0.3145,50.90,15715
"Aziza, Mage Tower Captain",rare,RW,0.5989,0.2703,+0.3286,53.80,10432
Poisoner's Apprentice,uncommon,B,0.7544,0.4240,+0.3304,55.50,19460
Fractal Tender,uncommon,GU,0.5671,0.2314,+0.3357,53.40,19068
Cyclonic Rift,mythic,U,0.9382,0.5989,+0.3392,56.90,1735
Muse Seeker,uncommon,U,0.5530,0.2014,+0.3516,53.00,23591
"Ennis, Debate Moderator",uncommon,W,0.4417,0.0830,+0.3587,50.80,13349
Teacher's Pest,uncommon,BG,0.7297,0.3693,+0.3604,54.90,18931
The Dawning Archaic,mythic,,0.6908,0.3110,+0.3799,54.30,6099
Grim Haruspex,rare,B,0.7509,0.3693,+0.3816,54.90,1008
"Emil, Vastlands Roamer",uncommon,G,0.6378,0.2473,+0.3905,53.60,19875
Witherbloom Charm,uncommon,BG,0.6767,0.2845,+0.3922,54.00,16360
Cauldron of Essence,rare,BG,0.8958,0.4876,+0.4081,56.00,9208
Forum Necroscribe,uncommon,B,0.5283,0.1113,+0.4170,51.40,16926
"Berta, Wise Extrapolator",rare,GU,0.8498,0.3993,+0.4505,55.20,13277
"Arnyn, Deathbloom Botanist",uncommon,B,0.5353,0.0760,+0.4594,50.70,11322
"Ral Zarek, Guest Lecturer",mythic,B,0.7933,0.3322,+0.4611,54.50,4606
"Orysa, Tide Choreographer",uncommon,U,0.7792,0.2473,+0.5318,53.60,16225
Withering Curse,mythic,B,0.8534,0.2703,+0.5830,53.80,3626
"Silverquill, the Disputant",mythic,BW,0.9417,0.3569,+0.5848,54.70,5538
Sylvan Library,mythic,G,0.7721,0.1360,+0.6360,51.70,588
Dualcaster Mage,rare,R,0.7756,0.0901,+0.6855,50.90,986
"Witherbloom, the Balancer",mythic,BG,0.8286,0.1219,+0.7067,51.50,4213
Archmage Emeritus,rare,U,0.8074,0.0972,+0.7102,51.00,1166
Awaken the Woods,mythic,G,0.9488,0.2102,+0.7385,53.10,921
